Index,ClassId,Split
371,1,train
372,2,train
373,5,train
374,11,train
375,11,train
376,9,train
377,0,train
378,15,train
379,5,train
380,2,train
381,12,train
382,12,train
383,3,train
384,25,train
385,12,train
386,13,train
387,33,train
388,38,train
389,29,train
390,12,train
391,1,train
392,2,train
393,7,train
394,4,train
395,33,train
396,12,train
397,4,train
398,32,train
399,12,train
400,3,train
401,10,train
402,7,train
403,8,train
404,36,train
405,36,train
406,39,train
407,3,train
408,10,train
409,5,train
410,25,train
411,13,train
412,18,train
413,14,train
414,9,train
415,16,train
416,13,train
417,11,train
418,2,train
419,31,train
420,23,train
421,26,train
422,13,train
423,12,train
424,5,train
425,5,train
426,42,train
427,23,train
428,25,train
429,4,train
430,35,train
431,3,train
432,1,train
433,9,train
434,18,train
435,0,train
436,5,train
437,3,train
438,10,train
439,38,train
440,25,train
441,1,train
442,5,train
443,16,train
444,10,train
445,5,train
446,28,train
447,20,train
448,41,train
449,15,train
450,15,train
451,14,train
452,15,train
453,10,train
454,17,train
455,13,train
456,5,train
457,17,train
458,12,train
459,16,train
460,19,train
461,1,train
462,8,train
463,5,train
464,9,train
465,25,train
466,3,train
467,1,train
468,6,train
469,1,train
470,35,train
471,30,train
472,38,train
473,35,train
474,29,train
475,25,train
476,25,train
477,13,train
478,17,train
479,30,train
480,0,train
481,1,train
482,40,train
483,35,train
484,38,train
485,4,train
486,28,train
487,14,train
488,30,train
489,20,train
490,10,train
491,3,train
492,7,train
493,25,train
494,12,train
495,6,train
496,10,train
497,35,train
498,29,train
499,10,train
500,10,train
501,11,train
502,2,train
503,12,train
504,33,train
505,7,train
506,21,train
507,21,train
508,39,train
509,13,train
510,38,train
511,13,train
512,10,train
513,13,train
514,2,train
515,33,train
516,29,train
517,31,train
518,1,train
519,35,train
520,3,train
521,34,train
522,3,train
523,4,train
524,18,train
525,23,train
526,13,train
527,21,train
528,9,train
529,13,train
530,13,train
531,33,train
532,30,train
533,26,train
534,9,train
535,1,train
536,18,train
537,4,train
538,2,train
539,22,train
540,13,train
541,17,train
542,23,train
543,17,train
544,38,train
545,22,train
546,12,train
547,7,train
548,3,train
549,10,train
550,21,train
551,17,train
552,2,train
553,22,train
554,9,train
555,28,train
556,12,train
557,11,train
558,2,train
559,33,train
560,11,train
561,31,train
562,3,train
563,1,train
564,5,train
565,23,train
566,1,train
567,12,train
568,38,train
569,38,train
570,38,train
571,38,train
572,4,train
573,12,train
574,18,train
575,13,train
576,10,train
577,28,train
578,13,train
579,33,train
580,1,train
581,2,train
582,12,train
583,20,train
584,5,train
585,35,train
586,23,train
587,10,train
588,32,train
589,2,train
590,13,train
591,7,train
592,36,train
593,11,train
594,2,train
595,1,train
596,3,train
597,14,train
598,2,train
599,2,train
600,24,train
601,25,train
602,18,train
603,1,train
604,37,train
605,4,train
606,11,train
607,40,train
608,30,train
609,33,train
610,1,train
611,14,train
612,7,train
613,11,train
614,13,train
615,11,train
616,4,train
617,7,train
618,3,train
619,8,train
620,2,train
621,27,train
622,10,train
623,35,train
624,22,train
625,11,train
626,10,train
627,38,train
628,3,train
629,1,train
630,25,train
631,35,train
632,1,train
633,15,train
634,13,train
635,4,train
636,5,train
637,16,train
638,7,train
639,34,train
640,1,train
641,1,train
642,16,train
643,12,train
644,15,train
645,36,train
646,11,train
647,21,train
648,33,train
649,18,train
650,13,train
651,1,train
652,4,train
653,23,train
654,1,train
655,9,train
656,25,train
657,10,train
658,24,train
659,28,train
660,13,train
661,5,train
662,30,train
663,4,train
664,13,train
665,8,train
666,4,train
667,12,train
668,17,train
669,26,train
670,12,train
671,3,train
672,13,train
673,16,train
674,11,train
675,23,train
676,5,train
677,1,train
678,5,train
679,1,train
680,10,train
681,35,train
682,10,train
683,2,train
684,7,train
685,18,train
686,18,train
687,25,train
688,9,train
689,26,train
690,12,train
691,18,train
692,0,train
693,41,train
694,2,train
695,14,train
696,13,train
697,20,train
698,7,train
699,8,train
700,1,train
701,28,train
702,1,train
703,35,train
704,26,train
705,1,train
706,35,train
707,13,train
708,5,train
709,25,train
710,35,train
711,4,train
712,12,train
713,38,train
714,38,train
715,8,train
716,25,train
717,2,train
718,15,train
719,38,train
720,35,train
721,1,train
722,4,train
723,2,train
724,5,train
725,12,train
726,27,train
727,28,train
728,3,train
729,1,train
730,31,train
731,38,train
732,1,train
733,13,train
734,12,train
735,4,train
736,5,train
737,36,train
738,9,train
739,22,train
740,11,train
741,35,train
742,36,train
743,28,train
744,9,train
745,8,train
746,10,train
747,9,train
748,1,train
749,2,train
750,7,train
751,5,train
752,35,train
753,6,train
754,3,train
755,10,train
756,17,train
757,34,train
758,1,train
759,4,train
760,10,train
761,10,train
762,18,train
763,30,train
764,5,train
765,4,train
766,16,train
767,30,train
768,38,train
769,14,train
770,3,train
771,2,train
772,38,train
773,7,train
774,9,train
775,8,train
776,31,train
777,5,train
778,10,train
779,31,train
780,5,train
781,4,train
782,34,train
783,13,train
784,17,train
785,34,train
786,2,train
787,38,train
788,24,train
789,38,train
790,38,train
791,13,train
792,8,train
793,2,train
794,13,train
795,25,train
796,10,train
797,25,train
798,13,train
799,33,train
800,15,train
801,26,train
802,10,train
803,1,train
804,8,train
805,27,train
806,9,train
807,26,train
808,4,train
809,13,train
810,1,train
811,10,train
812,10,train
813,10,train
814,1,train
815,10,train
816,13,train
817,32,train
818,18,train
819,10,train
820,2,train
821,25,train
822,25,train
823,24,train
824,35,train
825,2,train
826,25,train
827,27,train
828,32,train
829,4,train
830,14,train
831,38,train
832,5,train
833,30,train
834,42,train
835,9,train
836,12,train
837,2,train
838,1,train
839,12,train
840,5,train
841,1,train
842,37,train
843,16,train
844,33,train
845,12,train
846,3,train
847,20,train
848,42,train
849,4,train
850,7,train
851,29,train
852,40,train
853,4,train
854,3,train
855,11,train
856,11,train
857,30,train
858,1,train
859,8,train
860,4,train
861,10,train
862,38,train
863,33,train
864,2,train
865,33,train
866,3,train
867,7,train
868,25,train
869,36,train
870,12,train
871,17,train
872,25,train
873,21,train
874,25,train
875,2,train
876,25,train
877,4,train
878,3,train
879,5,train
880,23,train
881,1,train
882,42,train
883,2,train
884,34,train
885,16,train
886,13,train
887,1,train
888,13,train
889,12,train
890,21,train
891,17,train
892,10,train
893,9,train
894,7,train
895,9,train
896,3,train
897,2,train
898,7,train
899,18,train
900,13,train
901,10,train
902,17,train
903,10,train
904,7,train
905,8,train
906,5,train
907,12,train
908,35,train
909,35,train
910,12,train
911,5,train
912,25,train
913,25,train
914,2,train
915,1,train
916,2,train
917,8,train
918,14,train
919,13,train
920,1,train
921,28,train
922,13,train
923,7,train
924,18,train
925,8,train
926,3,train
927,10,train
928,2,train
929,25,train
930,10,train
931,37,train
932,9,train
933,10,train
934,1,train
935,17,train
936,2,train
937,5,train
938,9,train
939,1,train
940,8,train
941,13,train
942,1,train
943,25,train
944,32,train
945,11,train
946,38,train
947,2,train
948,23,train
949,16,train
950,7,train
951,1,train
952,16,train
953,2,train
954,25,train
955,22,train
956,24,train
957,29,train
958,5,train
959,18,train
960,12,train
961,33,train
962,2,train
963,1,train
964,5,train
965,36,train
966,13,train
967,7,train
968,10,train
969,25,train
970,7,train
971,10,train
972,38,train
973,10,train
974,32,train
975,25,train
976,1,train
977,1,train
978,38,train
979,25,train
980,4,train
981,8,train
982,25,train
983,27,train
984,21,train
985,17,train
986,1,train
987,16,train
988,15,train
989,2,train
990,38,train
991,14,train
992,8,train
993,31,train
994,4,train
995,13,train
996,11,train
997,7,train
998,42,train
999,10,train
1000,24,train
1001,7,train
1002,2,train
1003,11,train
1004,4,train
1005,5,train
1006,16,train
1007,10,train
1008,14,train
1009,39,train
1010,26,train
1011,2,train
1012,3,train
1013,9,train
1014,5,train
1015,35,train
1016,29,train
1017,6,train
1018,18,train
1019,1,train
1020,2,train
1021,1,train
1022,12,train
1023,6,train
1024,9,train
1025,2,train
1026,10,train
1027,1,train
1028,18,train
1029,18,train
1030,9,train
1031,6,train
1032,11,train
1033,15,train
1034,38,train
1035,38,train
1036,33,train
1037,4,train
1038,40,train
1039,1,train
1040,18,train
1041,4,train
1042,14,train
1043,35,train
1044,12,train
1045,22,train
1046,36,train
1047,31,train
1048,9,train
1049,2,train
1050,25,train
1051,22,train
1052,5,train
1053,5,train
1054,11,train
1055,38,train
1056,35,train
1057,17,train
1058,26,train
1059,9,train
1060,11,train
1061,12,train
1062,12,train
1063,22,train
1064,2,train
1065,8,train
1066,28,train
1067,38,train
1068,10,train
1069,37,train
1070,12,train
1071,24,train
1072,9,train
1073,3,train
1074,8,train
1075,2,train
1076,17,train
1077,11,train
1078,3,train
1079,4,train
1080,2,train
1081,38,train
1082,8,train
1083,11,train
1084,12,train
1085,27,train
1086,25,train
1087,2,train
1088,17,train
1089,16,train
1090,4,train
1091,22,train
1092,10,train
1093,25,train
1094,35,train
1095,16,train
1096,14,train
1097,1,train
1098,10,train
1099,40,train
1100,12,train
1101,8,train
1102,7,train
1103,7,train
1104,37,train
1105,1,train
1106,2,train
1107,11,train
1108,13,train
1109,7,train
1110,2,train
1111,40,train
1112,42,train
1113,25,train
1114,6,train
1115,3,train
1116,13,train
1117,20,train
1118,9,train
1119,34,train
1120,28,train
1121,10,train
1122,31,train
1123,38,train
1124,1,train
1125,34,train
1126,33,train
1127,12,train
1128,28,train
1129,2,train
1130,18,train
1131,4,train
1132,40,train
1133,5,train
1134,25,train
1135,2,train
1136,14,train
1137,28,train
1138,2,train
1139,2,train
1140,23,train
1141,10,train
1142,9,train
1143,18,train
1144,12,train
1145,33,train
1146,10,train
1147,5,train
1148,41,train
1149,31,train
1150,5,train
1151,35,train
1152,15,train
1153,17,train
1154,15,train
1155,22,train
1156,25,train
1157,10,train
1158,1,train
1159,34,train
1160,13,train
1161,38,train
1162,38,train
1163,2,train
1164,3,train
1165,10,train
1166,10,train
1167,7,train
1168,31,train
1169,16,train
1170,38,train
1171,3,train
1172,26,train
1173,22,train
1174,11,train
1175,5,train
1176,7,train
1177,28,train
1178,12,train
1179,12,train
1180,12,train
1181,11,train
1182,31,train
1183,22,train
1184,6,train
1185,26,train
1186,11,train
1187,10,train
1188,13,train
1189,26,train
1190,31,train
1191,14,train
1192,33,train
1193,35,train
1194,38,train
1195,23,train
1196,34,train
1197,22,train
1198,18,train
1199,13,train
1200,26,train
1201,5,train
1202,11,train
1203,13,train
1204,4,train
1205,12,train
1206,34,train
1207,5,train
1208,2,train
1209,5,train
1210,9,train
1211,13,train
1212,10,train
1213,12,train
1214,38,train
1215,4,train
1216,27,train
1217,4,train
1218,0,train
1219,17,train
1220,25,train
1221,15,train
1222,35,train
1223,5,train
1224,7,train
1225,9,train
1226,30,train
1227,38,train
1228,12,train
1229,10,train
1230,13,train
1231,6,train
1232,14,train
1233,5,train
1234,8,train
1235,2,train
1236,35,train
1237,4,train
1238,4,train
1239,16,train
1240,38,train
1241,9,train
1242,14,train
1243,25,train
1244,2,train
1245,10,train
1246,29,train
1247,8,train
1248,35,train
1249,21,train
1250,34,train
1251,25,train
1252,3,train
1253,33,train
1254,5,train
1255,17,train
1256,17,train
1257,5,train
1258,38,train
1259,23,train
1260,15,train
1261,11,train
1262,1,train
1263,5,train
1264,12,train
1265,7,train
1266,17,train
1267,13,train
1268,5,train
1269,2,train
1270,25,train
1271,5,train
1272,4,train
1273,25,train
1274,14,train
1275,12,train
1276,12,train
1277,38,train
1278,38,train
1279,38,train
1280,5,train
1281,6,train
1282,28,train
1283,37,train
1284,29,train
1285,31,train
1286,12,train
1287,38,train
1288,8,train
1289,31,train
1290,3,train
1291,1,train
1292,7,train
1293,8,train
1294,38,train
1295,1,train
1296,35,train
1297,13,train
1298,7,train
1299,18,train
1300,9,train
1301,8,train
1302,9,train
1303,13,train
1304,9,train
1305,4,train
1306,25,train
1307,17,train
1308,5,train
1309,11,train
1310,24,train
1311,9,train
1312,2,train
1313,38,train
1314,3,train
1315,33,train
1316,8,train
1317,31,train
1318,4,train
1319,37,train
1320,2,train
1321,25,train
1322,12,train
1323,32,train
1324,35,train
1325,35,train
1326,14,train
1327,28,train
1328,12,train
1329,20,train
1330,10,train
1331,8,train
1332,7,train
1333,12,train
1334,6,train
1335,1,train
1336,8,train
1337,35,train
1338,2,train
1339,8,train
1340,38,train
1341,1,train
1342,12,train
1343,5,train
1344,5,train
1345,31,train
1346,4,train
1347,4,train
1348,1,train
1349,5,train
1350,16,train
1351,7,train
1352,35,train
1353,7,train
1354,13,train
1355,4,train
1356,25,train
1357,17,train
1358,25,train
1359,1,train
1360,7,train
1361,25,train
1362,7,train
1363,25,train
1364,12,train
1365,10,train
1366,11,train
1367,13,train
1368,33,train
1369,1,train
1370,33,train
1371,7,train
1372,7,train
1373,34,train
1374,8,train
1375,5,train
1376,4,train
1377,35,train
1378,4,train
1379,37,train
1380,11,train
1381,25,train
1382,12,train
1383,25,train
1384,27,train
1385,28,train
1386,4,train
1387,25,train
1388,13,train
1389,1,train
1390,2,train
1391,25,train
1392,38,train
1393,14,train
1394,2,train
1395,4,train
1396,13,train
1397,11,train
1398,10,train
1399,0,train
1400,10,train
1401,7,train
1402,5,train
1403,33,train
1404,10,train
1405,12,train
1406,10,train
1407,30,train
1408,18,train
1409,35,train
1410,25,train
1411,10,train
1412,23,train
1413,12,train
1414,8,train
1415,12,train
1416,25,train
1417,25,train
1418,28,train
1419,25,train
1420,28,train
1421,26,train
1422,24,train
1423,9,train
1424,2,train
1425,38,train
1426,4,train
1427,2,train
1428,5,train
1429,16,train
1430,1,train
1431,38,train
1432,13,train
1433,5,train
1434,30,train
1435,11,train
1436,12,train
1437,21,train
1438,31,train
1439,40,train
1440,20,train
1441,26,train
1442,8,train
1443,10,train
1444,17,train
1445,13,train
1446,15,train
1447,33,train
1448,29,train
1449,10,train
1450,17,train
1451,3,train
1452,30,train
1453,40,train
1454,31,train
1455,25,train
1456,21,train
1457,9,train
1458,4,train
1459,9,train
1460,4,train
1461,1,train
1462,35,train
1463,21,train
1464,8,train
1465,7,train
1466,4,train
1467,13,train
1468,29,train
1469,25,train
1470,35,train
1471,4,train
1472,35,train
1473,21,train
1474,12,train
1475,32,train
1476,41,train
1477,4,train
1478,35,train
1479,3,train
1480,3,train
1481,38,train
1482,38,train
1483,38,train
1484,34,train
1485,38,train
1486,35,train
1487,18,train
1488,13,train
1489,29,train
1490,38,train
1491,14,train
1492,10,train
1493,38,train
1494,28,train
1495,10,train
1496,10,train
1497,33,train
1498,11,train
1499,9,train
1500,6,train
1501,34,train
1502,38,train
1503,23,train
1504,3,train
1505,13,train
1506,42,train
1507,2,train
1508,8,train
1509,30,train
1510,10,train
1511,31,train
1512,7,train
1513,5,train
1514,1,train
1515,8,train
1516,4,train
1517,1,train
1518,17,train
1519,32,train
1520,33,train
1521,11,train
1522,15,train
1523,11,train
1524,18,train
1525,9,train
1526,13,train
1527,6,train
1528,19,train
1529,1,train
1530,33,train
1531,2,train
1532,9,train
1533,1,train
1534,17,train
1535,9,train
1536,3,train
1537,3,train
1538,19,train
1539,31,train
1540,2,train
1541,4,train
1542,13,train
1543,12,train
1544,12,train
1545,3,train
1546,8,train
1547,13,train
1548,2,train
1549,28,train
1550,31,train
1551,12,train
1552,40,train
1553,32,train
1554,25,train
1555,18,train
1556,24,train
1557,24,train
1558,11,train
1559,1,train
1560,28,train
1561,17,train
1562,12,train
1563,10,train
1564,17,train
1565,13,train
1566,11,train
1567,25,train
1568,28,train
1569,8,train
1570,29,train
1571,8,train
1572,6,train
1573,18,train
1574,5,train
1575,5,train
1576,21,train
1577,8,train
1578,38,train
1579,17,train
1580,30,train
1581,13,train
1582,25,train
1583,26,train
1584,7,train
1585,4,train
1586,11,train
1587,5,train
1588,7,train
1589,8,train
1590,1,train
1591,12,train
1592,41,train
1593,6,train
1594,13,train
1595,2,train
1596,22,train
1597,31,train
1598,0,train
1599,2,train
1600,23,train
1601,1,train
1602,40,train
1603,10,train
1604,13,train
1605,10,train
1606,17,train
1607,12,train
1608,10,train
1609,8,train
1610,30,train
1611,26,train
1612,4,train
1613,17,train
1614,22,train
1615,12,train
1616,11,train
1617,1,train
1618,1,train
1619,12,train
1620,10,train
1621,9,train
1622,4,train
1623,9,train
1624,12,train
1625,13,train
1626,20,train
1627,35,train
1628,10,train
1629,1,train
1630,7,train
1631,38,train
1632,37,train
1633,10,train
1634,1,train
1635,22,train
1636,4,train
1637,5,train
1638,20,train
1639,40,train
1640,9,train
1641,29,train
1642,5,train
1643,1,train
1644,38,train
1645,27,train
1646,4,train
1647,25,train
1648,11,train
1649,25,train
1650,22,train
1651,10,train
1652,1,train
1653,5,train
1654,42,train
1655,28,train
1656,25,train
1657,28,train
1658,35,train
1659,25,train
1660,13,train
1661,10,train
1662,15,train
1663,3,train
1664,1,train
1665,5,train
1666,31,train
1667,11,train
1668,29,train
1669,28,train
1670,11,train
1671,10,train
1672,35,train
1673,9,train
1674,20,train
1675,12,train
1676,7,train
1677,38,train
1678,0,train
1679,38,train
1680,11,train
1681,9,train
1682,35,train
1683,1,train
1684,5,train
1685,42,train
1686,25,train
1687,15,train
1688,11,train
1689,4,train
1690,18,train
1691,17,train
1692,4,train
1693,14,train
1694,14,train
1695,10,train
1696,15,train
1697,36,train
1698,7,train
1699,24,train
1700,1,train
1701,3,train
1702,13,train
1703,2,train
1704,5,train
1705,22,train
1706,7,train
1707,8,train
1708,3,train
1709,4,train
1710,28,train
1711,33,train
1712,15,train
1713,8,train
1714,1,train
1715,13,train
1716,7,train
1717,2,train
1718,10,train
1719,1,train
1720,25,train
1721,11,train
1722,8,train
1723,35,train
1724,3,train
1725,11,train
1726,5,train
1727,19,train
1728,11,train
1729,10,train
1730,33,train
1731,10,train
1732,4,train
1733,23,train
1734,12,train
1735,10,train
1736,24,train
1737,9,train
1738,10,train
1739,8,train
1740,19,train
1741,20,train
1742,10,train
1743,26,train
1744,5,train
1745,12,train
1746,12,train
1747,8,train
1748,13,train
1749,13,train
1750,4,train
1751,8,train
1752,12,train
1753,8,train
1754,5,train
1755,4,train
1756,5,train
1757,13,train
1758,1,train
1759,5,train
1760,1,train
1761,21,train
1762,2,train
1763,7,train
1764,2,train
1765,2,train
1766,18,train
1767,11,train
1768,1,train
1769,20,train
1770,3,train
1771,31,train
1772,8,train
1773,13,train
1774,20,train
1775,1,train
1776,9,train
1777,20,train
1778,10,train
1779,37,train
1780,9,train
1781,31,train
1782,4,train
1783,31,train
1784,2,train
1785,8,train
1786,40,train
1787,40,train
1788,29,train
1789,25,train
1790,9,train
1791,25,train
1792,2,train
1793,4,train
1794,16,train
1795,8,train
1796,26,train
1797,13,train
1798,7,train
1799,35,train
1800,33,train
1801,2,train
1802,10,train
1803,5,train
1804,10,train
1805,7,train
1806,19,train
1807,21,train
1808,5,train
1809,34,train
1810,5,train
1811,40,train
1812,3,train
1813,38,train
1814,14,train
1815,9,train
1816,17,train
1817,8,train
1818,2,train
1819,25,train
1820,34,train
1821,42,train
1822,38,train
1823,25,train
1824,9,train
1825,15,train
1826,34,train
1827,5,train
1828,5,train
1829,13,train
1830,33,train
1831,13,train
1832,20,train
1833,4,train
1834,38,train
1835,5,train
1836,5,train
1837,2,train
1838,38,train
1839,7,train
1840,7,train
1841,12,train
1842,28,train
1843,14,train
1844,38,train
1845,3,train
1846,38,train
1847,13,train
1848,9,train
1849,12,train
1850,33,train
1851,5,train
1852,35,train
1853,33,train
1854,8,train
1855,13,train
1856,13,train
1857,9,train
1858,4,train
1859,38,train
1860,3,train
1861,1,train
1862,2,train
1863,9,train
1864,35,train
1865,5,train
1866,3,train
1867,12,train
1868,12,train
1869,10,train
1870,12,train
1871,28,train
1872,1,train
1873,7,train
1874,16,train
1875,12,train
1876,25,train
1877,26,train
1878,20,train
1879,22,train
1880,38,train
1881,14,train
1882,7,train
1883,25,train
1884,10,train
1885,15,train
1886,13,train
1887,33,train
1888,4,train
1889,13,train
1890,39,train
1891,23,train
1892,13,train
1893,17,train
1894,1,train
1895,9,train
1896,18,train
1897,7,train
1898,10,train
1899,26,train
1900,35,train
1901,10,train
1902,2,train
1903,12,train
1904,1,train
1905,1,train
1906,25,train
1907,40,train
1908,4,train
1909,9,train
1910,9,train
1911,2,train
1912,18,train
1913,2,train
1914,11,train
1915,20,train
1916,10,train
1917,16,train
1918,10,train
1919,10,train
1920,10,train
1921,4,train
1922,32,train
1923,4,train
1924,7,train
1925,3,train
1926,7,train
1927,13,train
1928,18,train
1929,7,train
1930,13,train
1931,8,train
1932,12,train
1933,10,train
1934,11,train
1935,24,train
1936,8,train
1937,13,train
1938,3,train
1939,4,train
1940,25,train
1941,1,train
1942,36,train
1943,14,train
1944,34,train
1945,17,train
1946,33,train
1947,40,train
1948,13,train
1949,8,train
1950,34,train
1951,18,train
1952,17,train
1953,8,train
1954,14,train
1955,1,train
1956,9,train
1957,13,train
1958,16,train
1959,26,train
1960,14,train
1961,8,train
1962,36,train
1963,38,train
1964,10,train
1965,17,train
1966,2,train
1967,5,train
1968,25,train
1969,5,train
1970,35,train
1971,23,train
1972,17,train
1973,25,train
1974,8,train
1975,9,train
1976,11,train
1977,1,train
1978,13,train
1979,22,train
1980,5,train
1981,41,train
1982,5,train
1983,29,train
1984,17,train
1985,37,train
1986,22,train
1987,26,train
1988,12,train
1989,35,train
1990,4,train
1991,8,train
1992,6,train
1993,2,train
1994,29,train
1995,9,train
1996,25,train
1997,38,train
1998,25,train
1999,10,train
2000,14,train
2001,13,train
2002,12,train
2003,3,train
2004,7,train
2005,5,train
2006,4,train
2007,35,train
2008,33,train
2009,8,train
2010,13,train
2011,4,train
2012,1,train
2013,4,train
2014,16,train
2015,2,train
2016,31,train
2017,11,train
2018,25,train
2019,2,train
2020,34,train
2021,22,train
2022,1,train
2023,12,train
2024,13,train
2025,18,train
2026,10,train
2027,7,train
2028,22,train
2029,40,train
2030,5,train
2031,12,train
2032,8,train
2033,13,train
2034,17,train
2035,21,train
2036,15,train
2037,21,train
2038,1,train
2039,20,train
2040,34,train
2041,33,train
2042,11,train
2043,18,train
2044,28,train
2045,24,train
2046,11,train
2047,25,train
2048,2,train
2049,7,train
2050,2,train
2051,6,train
2052,25,train
2053,12,train
2054,38,train
2055,12,train
2056,3,train
2057,20,train
2058,26,train
2059,12,train
2060,18,train
2061,18,train
2062,1,train
2063,13,train
2064,2,train
2065,8,train
2066,38,train
2067,1,train
2068,38,train
2069,24,train
2070,38,train
2071,7,train
2072,5,train
2073,13,train
2074,25,train
2075,26,train
2076,6,train
2077,4,train
2078,12,train
2079,36,train
2080,25,train
2081,9,train
2082,26,train
2083,12,train
2084,4,train
2085,38,train
2086,8,train
2087,27,train
2088,18,train
2089,5,train
2090,39,train
2091,12,train
2092,19,train
2093,12,train
2094,14,train
2095,4,train
2096,38,train
2097,26,train
2098,17,train
2099,5,train
2100,13,train
2101,7,train
2102,27,train
2103,3,train
2104,4,train
2105,4,train
2106,5,train
2107,28,train
2108,10,train
2109,2,train
2110,10,train
2111,2,train
2112,7,train
2113,8,train
2114,2,train
2115,2,train
2116,11,train
2117,12,train
2118,9,train
2119,7,train
2120,25,train
2121,8,train
2122,35,train
2123,25,train
2124,35,train
2125,38,train
2126,9,train
2127,6,train
2128,6,train
2129,16,train
2130,39,train
2131,16,train
2132,13,train
2133,5,train
2134,12,train
2135,38,train
2136,9,train
2137,10,train
2138,11,train
